Roll.no,CGPA,tot_arriers,clrd_arriers,Interns,Paid_intrn,Projects,Articels,Placement
cseXXXX,8.2,0,0,3,1,5,2,1100000
cseXXXX,7.2,3,3,1,1,1,0,450000
cseXXXX,2.3,14,2,0,0,0,0,0
cseXXXX,6.5,0,0,1,2,3,1,350000
cseXXXX,9.5,0,0,1,1,1,1,1050000
cseXXXX,7.6,0,0,0,0,0,0,450000
cseXXXX,6.4,2,1,1,1,0,0,300000
cseXXXX,9.2,0,0,0,0,0,0,800000
cseXXXX,7.7,0,0,2,1,3,1,750000
cseXXXX,8.5,0,0,0,1,1,0,750000
cseXXXX,3.9,7,2,1,0,1,0,0
cseXXXX,7.7,1,0,0,1,2,0,350000
cseXXXX,4.7,5,3,1,2,3,0,250000
cseXXXX,6,0,0,1,1,3,0,350000
cseXXXX,6.5,1,0,0,1,2,0,300000
cseXXXX,5.1,5,3,0,0,0,0,0
cseXXXX,6.2,1,0,0,1,2,0,300000
cseXXXX,7.1,0,0,0,0,2,0,400000
cseXXXX,6.9,0,0,0,0,0,0,400000
cseXXXX,4.8,3,1,0,0,1,0,0
cseXXXX,8.2,0,0,0,0,0,0,500000
cseXXXX,8.1,0,0,0,1,1,0,550000
cseXXXX,7,0,0,1,1,1,0,420000
cseXXXX,7.8,0,0,0,0,0,0,460000
cseXXXX,3.5,7,4,0,1,1,0,0
cseXXXX,7.6,0,0,1,0,1,0,350000
cseXXXX,2.8,12,3,0,0,0,0,0
cseXXXX,8.5,0,0,3,2,3,2,780000
cseXXXX,5.2,2,1,1,1,1,0,0
cseXXXX,6.5,1,0,1,0,0,0,400000
cseXXXX,9.5,0,0,5,2,5,3,1250000
cseXXXX,5.8,3,1,0,1,1,0,170000
cseXXXX,7.4,0,0,1,0,2,0,370000
cseXXXX,2.2,15,2,0,0,0,0,0
cseXXXX,3.6,8,4,1,1,2,0,0
cseXXXX,5,4,1,0,1,1,0,0
cseXXXX,9.1,0,0,5,1,5,3,1080000
cseXXXX,1.1,17,2,0,1,0,0,0
cseXXXX,8.4,0,0,2,0,3,0,660000
cseXXXX,5.6,3,2,1,1,1,1,260000
cseXXXX,3.4,10,2,0,0,1,0,0
cseXXXX,7.9,0,0,2,1,2,1,650000
cseXXXX,9.7,0,0,4,1,8,3,1300000
cseXXXX,9.3,0,0,2,2,5,2,1050000
cseXXXX,6.5,2,1,1,0,2,0,300000
cseXXXX,3,11,5,0,0,0,0,0
cseXXXX,4.2,5,1,1,1,0,0,0
cseXXXX,6.02,1,0,0,2,1,1,180000
cseXXXX,7.45,0,0,2,1,2,1,350000
cseXXXX,4.29,2,1,1,0,1,0,0
cseXXXX,8.98,0,0,0,2,3,2,970000
cseXXXX,5.67,3,0,2,0,1,0,240000
cseXXXX,3.3,10,4,0,1,1,0,0
cseXXXX,7.5,1,1,2,0,2,1,360000
cseXXXX,7.3,2,1,1,1,1,1,230000
cseXXXX,6.8,0,0,1,1,0,2,300000
cseXXXX,6.89,0,0,0,0,1,2,340000
cseXXXX,7.71,0,0,3,0,3,1,500000
cseXXXX,6.73,0,0,1,1,2,0,280000
cseXXXX,4.45,3,1,1,0,2,0,100000
cseXXXX,5,2,1,0,0,1,0,150000
cseXXXX,9,0,0,0,0,4,2,900000
cseXXXX,5.9,3,1,1,1,1,1,280000
cseXXXX,5.2,2,1,0,2,1,1,150000
cseXXXX,5.83,1,0,1,1,2,0,160000
cseXXXX,7.73,0,0,2,0,0,2,380000
cseXXXX,3.33,11,3,0,0,1,0,0
cseXXXX,4.82,5,1,0,1,1,0,100000
cseXXXX,5.98,3,1,1,1,2,0,100000
cseXXXX,7.91,0,0,2,1,3,1,560000
cseXXXX,8.34,1,1,1,2,1,2,570000
cseXXXX,8.56,0,0,3,0,0,3,780000
cseXXXX,8.8,0,0,1,2,5,2,950000
cseXXXX,8.23,1,1,0,1,1,1,450000
cseXXXX,9,0,0,2,1,2,4,1000000
cseXXXX,9.23,0,0,2,0,4,2,1280000
cseXXXX,3.67,9,4,0,1,1,0,0
cseXXXX,9.34,0,0,1,2,4,3,1080000
cseXXXX,9.65,0,0,4,1,7,4,1290000
cseXXXX,8.81,0,0,0,0,0,0,550000
cseXXXX,8.72,0,0,2,2,1,1,760000
cseXXXX,7.54,1,1,2,1,3,1,550000
cseXXXX,4.56,4,2,1,1,1,0,130000
cseXXXX,4.89,3,1,0,1,0,1,170000
cseXXXX,5.94,2,0,1,1,1,0,200000
cseXXXX,6.34,1,0,0,1,0,1,340000
cseXXXX,9.8,0,0,3,2,6,3,1450000
cseXXXX,5.9,2,0,0,1,1,0,120000
cseXXXX,6.65,2,1,1,1,0,1,330000
cseXXXX,4.73,4,1,0,2,1,0,129000
cseXXXX,8.67,1,1,3,2,3,0,650000
cseXXXX,6.73,1,1,0,1,0,2,380000
cseXXXX,7.7,0,0,2,0,1,1,400000
cseXXXX,3.5,11,4,0,0,1,0,0
cseXXXX,8.23,0,0,2,1,2,1,650000
cseXXXX,7.56,2,2,3,1,1,0,200000
cseXXXX,5.89,3,1,1,0,2,0,180000
cseXXXX,6.9,4,4,2,1,1,2,300000
cseXXXX,6.2,2,2,2,2,4,2,270000
